1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
317411,283652769	-317307,081764325	445457,778558644	-445097,739517541	303204,963356291	-303129,145724184	445457,778558644	-445097,739517541	-1484713,7320916	1485987,16301228	403734,786314511	-403458,109895274	303204,963356291	-303129,145724184	403734,786314511	-403458,109895274	296549,787530703	-296487,266953192	
317307,081764325	317411,283652769	445097,739517541	445457,778558644	303129,145724184	303204,963356291	445097,739517541	445457,778558644	-1485987,16301228	-1484713,7320916	403458,109895274	403734,786314511	303129,145724184	303204,963356291	403458,109895274	403734,786314511	296487,266953192	296549,787530703	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
