7,28395704288346E-11 
-3,18739683234944E-12 
7,79463815616763E-12 
-3,41516333244132E-13 
2,36631265153974E-11 
-1,03557285934199E-12 
1,80596891724438E-11 
-7,90489384973048E-13 
1,80373931456699E-11 
-7,89453429803866E-13 
1,67071563156837E-11 
-7,31247785867032E-13 
1,58966422307054E-11 
-6,95766259957335E-13 
1,51656489319761E-11 
-6,63772785874782E-13 
1,4662778747408E-11 
-6,41762068813624E-13 
1,4367392205453E-11 
-6,288334485679E-13 
1,42691911499845E-11 
-6,24535168196182E-13 
1,43378173543427E-11 
-6,27539422964621E-13 
1,46053064491579E-11 
-6,3924634040854E-13 
1,50271035548018E-11 
-6,5771201247701E-13 
1,58309247874286E-11 
-6,92884473503238E-13 
1,62303825627328E-11 
-7,1040034926151E-13 
1,86914803809411E-11 
-8,18035015835364E-13 
1,52674609607352E-11 
-6,68394144024338E-13 
3,00159568919726E-11 
-1,31340764098448E-12 
-5,15491442303011E-12 
2,25009524714374E-13 
7,67398191975566E-11 
-3,3582393411311E-12 
3,22873387294569E-12 
-1,41307000741575E-13 
3,40176705107018E-13 
-1,49065796368183E-14 
1,02761382457294E-12 
-4,49775268039107E-14 
7,6947832944884E-13 
-3,36845635590999E-14 
7,5177399330149E-13 
-3,2906717094763E-14 
6,74095161732062E-13 
-2,95067672554126E-14 
6,13536844583155E-13 
-2,68553937517408E-14 
5,50283439433607E-13 
-2,40864165225963E-14 
4,90420491001606E-13 
-2,14658774587291E-14 
4,38072089178358E-13 
-1,91744294418911E-14 
4,139507199013E-13 
-1,81186080006944E-14 
4,33692311998457E-13 
-1,89827659124576E-14 
4,86096517813864E-13 
-2,12766118550877E-14 
5,47314001149138E-13 
-2,39564801238612E-14 
6,16248035715608E-13 
-2,69737788468514E-14 
6,62888041813339E-13 
-2,90167713896099E-14 
7,85892778543992E-13 
-3,43982522517628E-14 
6,61677671040267E-13 
-2,89701137289651E-14 
1,30624429508586E-12 
-5,71651753113697E-14 
-2,14468851155518E-13 
9,36258710861872E-15 
3,39386499778028E-12 
-1,48543331694523E-13 
2,82756795188656E-11 
-1,23735898204787E-12 
3,07564635909236E-12 
-1,34720536452263E-13 
8,64849314863543E-12 
-3,78490039698804E-13 
6,22517622677994E-12 
-2,72473723051312E-13 
5,78861167356506E-12 
-2,53350111969154E-13 
4,8775833456257E-12 
-2,13480254814122E-13 
4,11986975029594E-12 
-1,80315262434333E-13 
3,38427334648061E-12 
-1,48120108858439E-13 
2,74569232188528E-12 
-1,20170901066669E-13 
2,26725946433917E-12 
-9,92312596865901E-14 
2,06680058831911E-12 
-9,04577921865955E-14 
2,20455203676657E-12 
-9,64869486016773E-14 
2,63846438696791E-12 
-1,15478050779925E-13 
3,23953729204705E-12 
-1,41786335877858E-13 
3,99223306035076E-12 
-1,74728132946261E-13 
4,6208365937004E-12 
-2,02248363485741E-13 
5,91515705836037E-12 
-2,5887696016755E-13 
5,14347556523313E-12 
-2,25163094589184E-13 
1,09082649025485E-11 
-4,77331202632892E-13 
-1,91844274467705E-12 
8,37798229337607E-14 
2,98085135325971E-11 
-1,30448870158396E-12 
-6,01291849059566E-12 
2,63097814560487E-13 
-6,24975937075945E-13 
2,73817740521302E-14 
-1,89753047109617E-12 
8,3037011438857E-14 
-1,41022466621687E-12 
6,17235922890579E-14 
-1,3685648551065E-12 
5,98960764262871E-14 
-1,21531300936534E-12 
5,31904490897319E-14 
-1,09398514301692E-12 
4,78802070191036E-14 
-9,7016361307495E-13 
4,24612952571278E-14 
-8,61113387837529E-13 
3,76886697125754E-14 
-7,8677754261546E-13 
3,44353182635518E-14 
-7,71168890634827E-13 
3,37521498703298E-14 
-8,17044402925198E-13 
3,57599217377265E-14 
-9,06498569681673E-13 
3,96748794479363E-14 
-1,01198705670392E-12 
4,42918429091234E-14 
-1,1353153381663E-12 
4,96886231282967E-14 
-1,22253395128082E-12 
5,3507896100947E-14 
-1,45029906814085E-12 
6,34695953044324E-14 
-1,22707166754974E-12 
5,37171337873284E-14 
-2,42400347245564E-12 
1,06060203142774E-13 
3,97452194995853E-13 
-1,73442573692181E-14 
-6,30612054349071E-12 
2,7594803679075E-13 
7,44569115810761E-11 
-3,2581797074756E-12 
7,95880579940185E-12 
-3,48709371875039E-13 
2,4171207250959E-11 
-1,05781007292034E-12 
1,84370253819532E-11 
-8,07006767688678E-13 
1,84047757753446E-11 
-8,05533690669685E-13 
1,70341532908884E-11 
-7,45560406027872E-13 
1,61917805637164E-11 
-7,08684068891834E-13 
1,54277516380323E-11 
-6,75244449939637E-13 
1,48945064247379E-11 
-6,51904058737407E-13 
1,45750554738957E-11 
-6,37922047206773E-13 
1,44729097071556E-11 
-6,33451035881972E-13 
1,45634217640251E-11 
-6,37413155215537E-13 
1,486438442409E-11 
-6,50585210792037E-13 
1,53189960235706E-11 
-6,70487231288784E-13 
1,61543540353453E-11 
-7,07040293285622E-13 
1,65785137094073E-11 
-7,25637643625438E-13 
1,90908079925251E-11 
-8,35513109459412E-13 
1,56191546067774E-11 
-6,83789359435647E-13 
3,06591303984655E-11 
-1,34155624794555E-12 
-5,23320448365216E-12 
2,28428033272025E-13 
7,84367591730516E-11 
-3,43251059635001E-12 
